id,name,url,type,primary_use,address,neighbourhood,ownership,area,capacity,active_space,longitude,latitiude
171,Jennifer Kostuik Gallery,www.kostuikgallery.com?,Museum/Gallery,Museum/Gallery,"1070 Homer St, Vancouver, BC, V6B 2W9",Downtown,Privately Owned,,,Yes,-123.1211143,49.2766268
172,Jericho Arts Centre,www.jerichoartscentre.com?,Theatre/Performance,Theatre,"1675 Discovery St, Vancouver, BC, V6R 2K5",West Point Grey,Park Board/COV,5000,135,Yes,-123.202893,49.272369
173,Jericho Beach,,Community Space,Plaza/Park/Band Shell,"3941 Point Grey Rd., Vancouver, BC, V6R 1B5",West Point Grey,City of Vancouver,250799,,Yes,-123.1912389,49.2711948
174,Jewish Community Centre,www.jewishmuseum.ca?,Community Space,Community Centre/Hall,"950 W 41st Av, Vancouver, BC, V5Z 2N7",Oakridge,Non-Profit,14000,,Yes,-123.125991,49.233444
175,John Hendry Park (Trout Lake),,Community Space,Plaza/Park/Band Shell,"3300 Victoria Dr, Vancouver, BC, V5N 4L9",Kensington-Cedar Cottage,Park Board/COV,160565,,Yes,-123.06391,49.25716
176,John Oliver Secondary,http://go.vsb.bc.ca/schools/johnoliver/Pages/default.aspx,Educational,Educational Institution,"530 E 41st Av, Vancouver, BC, V5W 1P3",Sunset,Government,,,Yes,-123.0926825,49.2319794
177,Joy Kogawa House,http://www.kogawahouse.com,Studio/Rehearsal ,Artist Studio,"1450 W 64th Av, Vancouver, BC, V6P 2N4",Marpole,Non-Profit,,,Yes,-123.1384686,49.2128612
178,Judith R Marcuse Studio,,Studio/Rehearsal ,Rehearsal Studio,"677 Davie St, Vancouver, BC, V6B 2G6",Downtown,Privately Owned,800,50,Yes,-123.125727,49.277074
179,Kafka's Coffee and Tea,www.kafkascoffee.ca,Cafﾂ/Restaurant/Bar,Cafﾂ/Restaurant,"2525 Main St, Vancouver, BC, V5T 3E5",Mount Pleasant,Privately Owned,,,Yes,-123.101422,49.262355
180,Karen Flamenco Dance Soc.,http://karenflamenco.com,Studio/Rehearsal ,Rehearsal Studio,"60 W 7th Av, Vancouver, BC, V5Y 1L6",Mount Pleasant,Privately Owned,,,Yes,-123.106533,49.2644359
181,Kensington Community Centre,http://vancouver.ca/parks-recreation-culture/kensington-community-centre.aspx,Community Space,Community Centre/Hall,"5175 Dumfries St, Vancouver, BC, V5P 3A2",Kensington-Cedar Cottage,Park Board/COV,,,Yes,-123.0754802,49.23848156
182,Kerrisdale Community Centre,http://vancouver.ca/parks-recreation-culture/kerrisdale-community-centre.aspx,Community Space,Community Centre/Hall,"5851 West Blvd, Vancouver, BC, V6M 3W9",Kerrisdale,Park Board/COV,,,Yes,-123.1570929,49.23318536
183,Killarney Community Centre,https://vancouver.ca/parks-recreation-culture/killarney-community-centre.aspx,Community Space,Community Centre/Hall,"6260 Killarney St, Vancouver, BC, V5S 2X7",Killarney,Park Board/COV,,,Yes,-123.0443906,49.22740992
184,Kitsilano Showboat,http://www.kitsilanoshowboat.com/showboat.html,Community Space,Plaza/Park/Band Shell,"2300 Cornwall Av, Vancouver, BC, V6K 1B7",Kitsilano,City of Vancouver,1000,,Yes,-123.1573621,49.2725956
185,Kitsilano War Memorial Community Centre,http://vancouver.ca/parks-recreation-culture/kitsilano-war-memorial-community-centre.aspx,Community Space,Community Centre/Hall,"2690 Larch St, Vancouver, BC, V6K 4K9",Kitsilano,Park Board/COV,,,Yes,-123.1601056,49.26205534
186,La Maison De La Francophonie De Vancouver,www.lamaison.bc.ca,Community Space,Community Centre/Hall,"1555 W 7th Av, Vancouver, BC, V6J 1S1",Fairview,Privately Owned,,,Yes,-123.14003,49.26567
187,Labyrinth Gallery,http://labyrinthgallery.org/,Museum/Gallery,Museum/Gallery,"112 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,,,Yes,-123.1017894,49.2810651
188,"Landing Dance Centre, The",www.thelandingdance.com,Educational,Educational Institution,"270 Sw Marine Dr, Vancouver, BC, V5X 2R5",Marpole,Privately Owned,5470,,Yes,-123.112563,49.211381
189,Langara College - School of Creative And Applied Arts ,,Educational,Educational Institution,"100 W 49th Av, Vancouver, BC, V5Y 2Z6",Oakridge,Government,,,Yes,-123.108305,49.225191
190,Lattimer Gallery,www.lattimergallery.com?,Museum/Gallery,Museum/Gallery,"1590 W 2nd Av, Vancouver, BC, V6J 1H2",Fairview,Privately Owned,,,Yes,-123.1406592,49.2696829
